time,field_x,field_y,field_z
249478000000,-19.5,-27.0,0.0
249518000000,-16.0,-27.0,0.0
249570000000,-9.0,-27.5,0.0
249576000000,-1.0,-28.5,0.0
249580000000,-1.0,-28.5,0.0
249609000000,7.0,-29.0,0.0
249659000000,13.5,-30.0,0.0
249707000000,25.5,-31.0,0.0
249752000000,29.5,-31.5,0.0
249801000000,33.0,-31.5,0.0
249853000000,35.5,-32.0,0.0
249857000000,35.5,-32.0,0.0
249861000000,35.5,-32.0,0.0
249903000000,33.5,-31.5,0.0
249951000000,31.0,-31.0,0.0
249993000000,27.5,-30.5,0.0
250038000000,23.5,-30.0,0.0
250099000000,15.5,-29.0,0.0
250137000000,10.5,-28.5,0.0
250145000000,6.0,-28.0,0.0
250153000000,6.0,-28.0,0.0
250187000000,1.5,-27.5,0.0
250229000000,-3.0,-27.0,0.0
250277000000,-12.0,-26.5,0.0
250323000000,-16.5,-25.5,0.0
250376000000,-24.0,-25.5,0.0
250383000000,-24.0,-25.5,0.0
250395000000,-24.0,-25.5,0.0
250430000000,-27.0,-25.0,0.0
250479000000,-32.0,-24.5,0.0
250521000000,-33.5,-24.5,0.0
250563000000,-34.5,-24.5,0.0
250614000000,-34.5,-24.0,0.0
250656000000,-33.5,-24.0,0.0
250668000000,-33.5,-24.0,0.0
250674000000,-32.0,-24.0,0.0
250708000000,-30.5,-24.0,0.0
250748000000,-28.5,-24.0,0.0
250790000000,-26.5,-24.0,0.0
250829000000,-24.5,-24.0,0.0
250876000000,-22.0,-24.0,0.0
250916000000,-17.5,-24.0,0.0
250923000000,-17.5,-24.0,0.0
250929000000,-17.5,-24.0,0.0
250965000000,-15.5,-24.0,0.0
251004000000,-12.0,-24.0,0.0
251054000000,-10.5,-24.0,0.0
251097000000,-9.5,-24.0,0.0
251104000000,-9.5,-24.0,0.0
251113000000,-9.5,-24.0,0.0
251152000000,-7.5,-24.0,0.0
251195000000,-6.5,-23.5,0.0
251237000000,-5.0,-23.5,0.0
251284000000,-3.0,-23.5,0.0
251334000000,-2.5,-23.5,0.0
251392000000,-2.5,-23.5,0.0
251444000000,-3.5,-23.0,0.0
251496000000,-4.5,-22.5,0.0
251502000000,-4.5,-22.5,0.0
251513000000,-5.5,-22.5,0.0
251548000000,-7.0,-22.5,0.0
251585000000,-8.0,-22.5,0.0
251644000000,-9.5,-22.5,0.0
251673000000,-10.5,-22.5,0.0
251679000000,-11.5,-22.0,0.0
251692000000,-11.5,-22.0,0.0
251729000000,-13.0,-22.0,0.0
251768000000,-14.5,-22.0,0.0
251825000000,-17.5,-21.5,0.0
251875000000,-20.5,-21.5,0.0
251880000000,-20.5,-21.5,0.0
251883000000,-20.5,-21.5,0.0
251924000000,-21.5,-21.5,0.0
251969000000,-22.5,-21.5,0.0
252013000000,-22.5,-21.5,0.0
252068000000,-22.5,-21.5,0.0
252111000000,-21.5,-21.0,0.0
252118000000,-21.5,-21.0,0.0
252122000000,-21.5,-21.0,0.0
252160000000,-20.5,-21.0,0.0
252213000000,-18.5,-21.0,0.0
252245000000,-17.5,-20.5,0.0
252286000000,-16.0,-20.5,0.0
252292000000,-16.0,-20.5,0.0
252301000000,-16.0,-20.5,0.0
252345000000,-13.5,-20.5,0.0
252386000000,-12.5,-20.5,0.0
252442000000,-10.5,-20.5,0.0
252481000000,-10.0,-20.5,0.0
252521000000,-9.5,-20.5,0.0
252527000000,-9.5,-20.5,0.0
252531000000,-9.5,-20.5,0.0
252574000000,-7.5,-20.0,0.0
252623000000,-6.5,-20.0,0.0
252676000000,-5.5,-19.5,0.0
252715000000,-3.5,-19.5,0.0
252724000000,-3.5,-19.5,0.0
252730000000,-3.5,-19.5,0.0
252773000000,-3.5,-19.5,0.0
252825000000,-3.5,-19.5,0.0
252855000000,-4.0,-19.5,0.0
252863000000,-4.0,-19.5,0.0
252873000000,-4.0,-19.5,0.0
252909000000,-5.5,-19.0,0.0
252965000000,-6.5,-19.0,0.0
253011000000,-8.0,-18.5,0.0
253020000000,-8.0,-18.5,0.0
253024000000,-8.0,-18.5,0.0
253067000000,-9.0,-18.5,0.0
253094000000,-10.0,-18.5,0.0
253101000000,-10.0,-18.5,0.0
253114000000,-11.0,-18.5,0.0
253142000000,-11.0,-18.5,0.0
253192000000,-13.5,-18.5,0.0
253229000000,-14.5,-18.5,0.0
253237000000,-14.5,-18.5,0.0
253237000000,-14.5,-18.5,0.0
253262000000,-16.0,-18.5,0.0
253310000000,-18.5,-18.0,0.0
253337000000,-18.5,-18.0,0.0
253340000000,-19.5,-18.0,0.0
253352000000,-19.5,-18.0,0.0
253383000000,-20.5,-18.0,0.0
253433000000,-20.5,-17.5,0.0
253484000000,-20.5,-17.5,0.0
253533000000,-19.5,-17.5,0.0
253579000000,-18.5,-17.5,0.0
253583000000,-18.5,-17.5,0.0
253591000000,-18.5,-17.5,0.0
253626000000,-17.5,-17.5,0.0
253670000000,-16.5,-17.5,0.0
253709000000,-14.5,-17.0,0.0
253758000000,-13.5,-17.0,0.0
253759000000,-13.5,-17.0,0.0
253773000000,-13.5,-17.0,0.0
253812000000,-11.0,-16.5,0.0
253862000000,-10.5,-16.5,0.0
253899000000,-9.5,-16.5,0.0
253912000000,-8.5,-16.5,0.0
253954000000,-8.0,-16.5,0.0
253999000000,-7.0,-16.5,0.0
254026000000,-5.5,-16.5,0.0
254033000000,-5.5,-16.5,0.0
254045000000,-4.5,-16.5,0.0
254072000000,-4.5,-16.5,0.0
254106000000,-3.0,-16.5,0.0
254146000000,-2.5,-16.0,0.0
254196000000,-2.0,-15.5,0.0
254233000000,-2.0,-15.5,0.0
254243000000,-2.5,-15.5,0.0
254253000000,-2.5,-15.5,0.0
254281000000,-2.5,-15.5,0.0
254323000000,-3.5,-15.5,0.0
254352000000,-4.5,-15.5,0.0
254386000000,-5.0,-15.5,0.0
254421000000,-6.0,-15.5,0.0
254425000000,-6.0,-15.5,0.0
254438000000,-6.0,-15.5,0.0
254470000000,-7.0,-15.5,0.0
254509000000,-8.0,-15.5,0.0
254550000000,-9.5,-15.0,0.0
254598000000,-10.5,-14.5,0.0
254638000000,-11.5,-14.5,0.0
254644000000,-12.5,-14.5,0.0
254652000000,-12.5,-14.5,0.0
254683000000,-13.5,-14.5,0.0
254710000000,-13.5,-14.5,0.0
254739000000,-14.5,-14.5,0.0
254747000000,-14.5,-14.5,0.0
254752000000,-16.0,-14.5,0.0
254788000000,-17.0,-14.5,0.0
254840000000,-18.0,-14.5,0.0
254889000000,-18.5,-14.5,0.0
254929000000,-19.0,-14.5,0.0
254933000000,-19.0,-14.5,0.0
254947000000,-18.5,-14.0,0.0
254976000000,-18.5,-14.0,0.0
255020000000,-17.5,-13.5,0.0
255067000000,-16.5,-13.5,0.0
255111000000,-15.0,-13.5,0.0
255111000000,-15.0,-13.5,0.0
255127000000,-15.0,-13.5,0.0
255154000000,-13.5,-13.5,0.0
255195000000,-12.5,-13.5,0.0
255247000000,-10.5,-13.5,0.0
255290000000,-9.5,-13.5,0.0
255336000000,-8.5,-13.0,0.0
255340000000,-8.5,-13.0,0.0
255346000000,-7.5,-13.0,0.0
255385000000,-6.0,-12.5,0.0
255429000000,-4.5,-12.5,0.0
255475000000,-3.5,-12.5,0.0
255517000000,-1.5,-12.5,0.0
255524000000,-1.5,-12.5,0.0
255536000000,-1.5,-12.5,0.0
255562000000,-0.5,-12.5,0.0
255598000000,-0.5,-12.5,0.0
255637000000,-0.5,-12.5,0.0
255687000000,-1.0,-12.5,0.0
255736000000,-1.5,-12.5,0.0
255742000000,-1.5,-12.5,0.0
255750000000,-2.5,-12.0,0.0
255772000000,-2.5,-12.0,0.0
255808000000,-3.5,-12.0,0.0
255860000000,-5.5,-11.5,0.0
255913000000,-7.5,-11.5,0.0
255960000000,-8.5,-11.5,0.0
255962000000,-8.5,-11.5,0.0
255974000000,-8.5,-11.5,0.0
256017000000,-10.0,-11.5,0.0
256073000000,-10.5,-11.5,0.0
256102000000,-11.5,-11.5,0.0
